0	44	77764213	74.16
1	10	11680033	11.14
10	2	96681639	92.20
100	5	17617037	16.80
11	4	388573000	370.57
12	10	1056357952	1007.42
13	5	27473509	26.20
16	1	1079081	1.03
17	2	549290	0.52
2	3	251721362	240.06
2400	10	126602504	120.74
4	3	2369994	2.26
62	1	285328	0.27
7	1	1800497	1.72
9	8	1022957904	975.57
A99	2	1752	0.00
APACHE	3	30522	0.03
B99	2	3044	0.00
BSD	3	4032	0.00
TAG	2	86	0.00
a	2	165886	0.16
afm	60	1353784	1.29
al	16	7590	0.01
arff	16	210323	0.20
bat	16	9132	0.01
bazel	1	104	0.00
bc	3	925816	0.88
build	5	4431	0.00
bz2	4	193975	0.18
bzl	1	348	0.00
c	73	5705067	5.44
cache	4	6757745	6.44
cc	24	428417	0.41
cfg	2	119	0.00
cmake	32	267200	0.25
cpp	38	137889	0.13
csh	1	990	0.00
css	10	89746	0.09
csv	52	3711410	3.54
cu	7	3469	0.00
cuh	54	603871	0.58
dat	28	1855687	1.77
exe	14	854016	0.81
extension	files_count	total_bytes	total_mb
external	1	20022	0.02
f	20	9515	0.01
f2py_f2cmap	2	111	0.00
f90	49	23710	0.02
feather	1	594	0.00
fish	1	2266	0.00
fits	1	8640	0.01
g4	4	15956	0.02
gdb	1	101	0.00
gif	1	101906	0.10
gitignore	6	577	0.00
gitkeep	1	0	0.00
gz	19	492821	0.47
h	9587	49246983	46.97
hpp	84	1835040	1.75
html	9	61017	0.06
in	1	199	0.00
ini	4	1091	0.00
interp	2	19823	0.02
j2	2	1931	0.00
jpg	14830	3797338331	3621.42
js	179	46092048	43.96
json	111	207878771	198.25
lark	2	10581	0.01
lua	1	139	0.00
map	2	38415294	36.64
mat	110	70153	0.07
md	44	221142	0.21
mjs	2	11308	0.01
mod	1	412	0.00
mplstyle	29	38349	0.04
nc	3	3432	0.00
no_extension	1864	115253918	109.91
npy	11	457783	0.44
npz	25	3832750	3.66
orc	4	49512	0.05
parquet	5	23242	0.02
pdf	12	359279	0.34
pem	3	809322	0.77
pkl	2	1434	0.00
png	70	7879811	7.51
ps1	1	9033	0.01
pt	10	272874805	260.23
pth	9	2734333815	2607.66
ptx	1	896	0.00
pxd	52	654693	0.62
pxi	17	824203	0.79
py	14326	208821814	199.15
pyc	14269	177891192	169.65
pyf	5	1595	0.00
pyi	522	5323231	5.08
python	1	14688	0.01
pyx	38	2291057	2.18
rst	4	21356	0.02
sav	47	211903	0.20
sh	6	5807	0.01
so	325	2696114054	2571.21
svg	20	105950	0.10
tab	8	98564	0.09
template	1	1579	0.00
third-party	1	26322	0.03
thirdparty	1	12561	0.01
tmpl	1	138	0.00
tokens	2	578	0.00
toml	19	43595	0.04
tpl	7	8486	0.01
tsv	2	9325676	8.89
ttf	67	12819240	12.23
txt	4492	18782257	17.91
typed	78	1504	0.00
wav	22	72226	0.07
woff	20	303116	0.29
woff2	26	1872060	1.79
xlsx	2	25371	0.02
xml	17	9763649	9.31
xrc	1	2186	0.00
xsl	3	366181	0.35
yaml	273	1134755	1.08
yml	1	55	0.00
zi	2	214912	0.20
zip	4	1241025181	1183.53
