top_folder	files_count	total_bytes	total_mb
.gitignore	1	459	0.00
README.md	1	28289	0.03
artifacts	191	216663663	206.63
config	2	4167	0.00
configs	9	4162	0.00
data	19019	3870912429	3691.59
demo_showcase	10	664077	0.63
docs	1	2080	0.00
make_inventory.py	1	7274	0.01
project_inventory.zip	1	799145	0.76
reports	23	2158397	2.06
requirements.txt	1	217	0.00
rtdetr-l.pt	1	66511432	63.43
run_compare.py	1	2150	0.00
run_density.py	1	1513	0.00
run_evaluation.py	1	2702	0.00
run_full_pipeline.py	1	15069	0.01
run_identification.py	1	5930	0.01
run_inference.py	1	8107	0.01
run_interface.bat	1	125	0.00
run_interface.sh	1	143	0.00
run_mini_report.py	1	1903	0.00
run_recommendation.py	1	2355	0.00
run_segmentation_evaluation.py	1	1814	0.00
run_video_inference.py	1	3676	0.00
runs	69	2842369245	2710.69
scripts	59	389929	0.37
sku110k_small_v1_tiled_yolo.zip	1	881460466	840.63
sku110k_small_v1_yolo.zip	1	355140732	338.69
src	74	215660	0.21
start_control_panel.bat	1	236	0.00
tests	3	0	0.00
yolo26n.pt	1	5544453	5.29
yolov8m.pt	1	52136884	49.72
yolov8n.pt	1	6549796	6.25
yolov8s-seg.pt	1	23914764	22.81
yolov8s.pt	1	22588772	21.54
